z_min,z_max,vertex_count
0.000000000000000000e+00,6.250000000000000000e-01,1.228800000000000000e+04
6.250000000000000000e-01,1.250000000000000000e+00,4.833000000000000000e+03
1.250000000000000000e+00,1.875000000000000000e+00,5.931000000000000000e+03
1.875000000000000000e+00,2.500000000000000000e+00,6.035000000000000000e+03
2.500000000000000000e+00,3.125000000000000000e+00,4.158000000000000000e+03
3.125000000000000000e+00,3.750000000000000000e+00,4.148000000000000000e+03
3.750000000000000000e+00,4.375000000000000000e+00,3.891000000000000000e+03
4.375000000000000000e+00,5.000000000000000000e+00,3.351000000000000000e+03
5.000000000000000000e+00,5.625000000000000000e+00,2.999000000000000000e+03
5.625000000000000000e+00,6.250000000000000000e+00,2.256000000000000000e+03
6.250000000000000000e+00,6.875000000000000000e+00,2.064000000000000000e+03
6.875000000000000000e+00,7.500000000000000000e+00,1.938000000000000000e+03
7.500000000000000000e+00,8.125000000000000000e+00,1.721000000000000000e+03
8.125000000000000000e+00,8.750000000000000000e+00,1.610000000000000000e+03
8.750000000000000000e+00,9.375000000000000000e+00,1.569000000000000000e+03
9.375000000000000000e+00,1.000000000000000000e+01,2.213000000000000000e+03
1.000000000000000000e+01,1.062500000000000000e+01,2.846000000000000000e+03
1.062500000000000000e+01,1.125000000000000000e+01,2.340000000000000000e+03
1.125000000000000000e+01,1.187500000000000000e+01,2.964000000000000000e+03
1.187500000000000000e+01,1.250000000000000000e+01,2.795000000000000000e+03
1.250000000000000000e+01,1.312500000000000000e+01,1.787000000000000000e+03
1.312500000000000000e+01,1.375000000000000000e+01,1.115000000000000000e+03
1.375000000000000000e+01,1.437500000000000000e+01,9.480000000000000000e+02
1.437500000000000000e+01,1.500000000000000000e+01,9.140000000000000000e+02
1.500000000000000000e+01,1.562500000000000000e+01,1.037000000000000000e+03
1.562500000000000000e+01,1.625000000000000000e+01,9.760000000000000000e+02
1.625000000000000000e+01,1.687500000000000000e+01,9.620000000000000000e+02
1.687500000000000000e+01,1.750000000000000000e+01,1.097000000000000000e+03
1.750000000000000000e+01,1.812500000000000000e+01,9.180000000000000000e+02
1.812500000000000000e+01,1.875000000000000000e+01,1.055000000000000000e+03
1.875000000000000000e+01,1.937500000000000000e+01,1.018000000000000000e+03
1.937500000000000000e+01,2.000000000000000000e+01,1.039000000000000000e+03
2.000000000000000000e+01,2.062500000000000000e+01,1.135000000000000000e+03
2.062500000000000000e+01,2.125000000000000000e+01,1.068000000000000000e+03
2.125000000000000000e+01,2.187500000000000000e+01,1.202000000000000000e+03
2.187500000000000000e+01,2.250000000000000000e+01,1.086000000000000000e+03
2.250000000000000000e+01,2.312500000000000000e+01,1.195000000000000000e+03
2.312500000000000000e+01,2.375000000000000000e+01,1.103000000000000000e+03
2.375000000000000000e+01,2.437500000000000000e+01,1.273000000000000000e+03
2.437500000000000000e+01,2.500000000000000000e+01,1.112000000000000000e+03
2.500000000000000000e+01,2.562500000000000000e+01,1.291000000000000000e+03
2.562500000000000000e+01,2.625000000000000000e+01,1.283000000000000000e+03
2.625000000000000000e+01,2.687500000000000000e+01,1.315000000000000000e+03
2.687500000000000000e+01,2.750000000000000000e+01,1.294000000000000000e+03
2.750000000000000000e+01,2.812500000000000000e+01,1.439000000000000000e+03
2.812500000000000000e+01,2.875000000000000000e+01,1.386000000000000000e+03
2.875000000000000000e+01,2.937500000000000000e+01,1.455000000000000000e+03
2.937500000000000000e+01,3.000000000000000000e+01,1.373000000000000000e+03
3.000000000000000000e+01,3.062500000000000000e+01,1.320000000000000000e+03
3.062500000000000000e+01,3.125000000000000000e+01,1.437000000000000000e+03
3.125000000000000000e+01,3.187500000000000000e+01,1.399000000000000000e+03
3.187500000000000000e+01,3.250000000000000000e+01,1.508000000000000000e+03
3.250000000000000000e+01,3.312500000000000000e+01,1.482000000000000000e+03
3.312500000000000000e+01,3.375000000000000000e+01,1.584000000000000000e+03
3.375000000000000000e+01,3.437500000000000000e+01,1.579000000000000000e+03
3.437500000000000000e+01,3.500000000000000000e+01,1.619000000000000000e+03
3.500000000000000000e+01,3.562500000000000000e+01,1.609000000000000000e+03
3.562500000000000000e+01,3.625000000000000000e+01,1.632000000000000000e+03
3.625000000000000000e+01,3.687500000000000000e+01,1.676000000000000000e+03
3.687500000000000000e+01,3.750000000000000000e+01,1.612000000000000000e+03
3.750000000000000000e+01,3.812500000000000000e+01,1.738000000000000000e+03
3.812500000000000000e+01,3.875000000000000000e+01,1.670000000000000000e+03
3.875000000000000000e+01,3.937500000000000000e+01,1.739000000000000000e+03
3.937500000000000000e+01,4.000000000000000000e+01,1.792000000000000000e+03
4.000000000000000000e+01,4.062500000000000000e+01,1.952000000000000000e+03
4.062500000000000000e+01,4.125000000000000000e+01,1.826000000000000000e+03
4.125000000000000000e+01,4.187500000000000000e+01,1.890000000000000000e+03
4.187500000000000000e+01,4.250000000000000000e+01,1.777000000000000000e+03
4.250000000000000000e+01,4.312500000000000000e+01,1.863000000000000000e+03
4.312500000000000000e+01,4.375000000000000000e+01,1.682000000000000000e+03
4.375000000000000000e+01,4.437500000000000000e+01,1.990000000000000000e+03
4.437500000000000000e+01,4.500000000000000000e+01,2.373000000000000000e+03
4.500000000000000000e+01,4.562500000000000000e+01,2.751000000000000000e+03
4.562500000000000000e+01,4.625000000000000000e+01,3.050000000000000000e+03
4.625000000000000000e+01,4.687500000000000000e+01,3.698000000000000000e+03
4.687500000000000000e+01,4.750000000000000000e+01,4.353000000000000000e+03
4.750000000000000000e+01,4.812500000000000000e+01,5.720000000000000000e+03
4.812500000000000000e+01,4.875000000000000000e+01,6.052000000000000000e+03
4.875000000000000000e+01,4.937500000000000000e+01,7.082000000000000000e+03
4.937500000000000000e+01,5.000000000000000000e+01,8.063000000000000000e+03
5.000000000000000000e+01,5.062500000000000000e+01,9.453000000000000000e+03
5.062500000000000000e+01,5.125000000000000000e+01,1.077500000000000000e+04
5.125000000000000000e+01,5.187500000000000000e+01,1.262700000000000000e+04
5.187500000000000000e+01,5.250000000000000000e+01,1.396600000000000000e+04
5.250000000000000000e+01,5.312500000000000000e+01,1.460400000000000000e+04
5.312500000000000000e+01,5.375000000000000000e+01,1.635300000000000000e+04
5.375000000000000000e+01,5.437500000000000000e+01,1.818900000000000000e+04
5.437500000000000000e+01,5.500000000000000000e+01,2.004100000000000000e+04
5.500000000000000000e+01,5.562500000000000000e+01,2.090100000000000000e+04
5.562500000000000000e+01,5.625000000000000000e+01,2.243300000000000000e+04
5.625000000000000000e+01,5.687500000000000000e+01,2.385000000000000000e+04
5.687500000000000000e+01,5.750000000000000000e+01,2.610500000000000000e+04
5.750000000000000000e+01,5.812500000000000000e+01,2.787000000000000000e+04
5.812500000000000000e+01,5.875000000000000000e+01,2.821400000000000000e+04
5.875000000000000000e+01,5.937500000000000000e+01,2.889500000000000000e+04
5.937500000000000000e+01,6.000000000000000000e+01,2.789000000000000000e+04
6.000000000000000000e+01,6.062500000000000000e+01,2.815600000000000000e+04
6.062500000000000000e+01,6.125000000000000000e+01,2.747600000000000000e+04
6.125000000000000000e+01,6.187500000000000000e+01,2.676900000000000000e+04
6.187500000000000000e+01,6.250000000000000000e+01,2.622900000000000000e+04
6.250000000000000000e+01,6.312500000000000000e+01,2.565600000000000000e+04
6.312500000000000000e+01,6.375000000000000000e+01,2.527100000000000000e+04
6.375000000000000000e+01,6.437500000000000000e+01,2.480100000000000000e+04
6.437500000000000000e+01,6.500000000000000000e+01,2.437900000000000000e+04
6.500000000000000000e+01,6.562500000000000000e+01,2.376900000000000000e+04
6.562500000000000000e+01,6.625000000000000000e+01,2.154400000000000000e+04
6.625000000000000000e+01,6.687500000000000000e+01,2.044500000000000000e+04
6.687500000000000000e+01,6.750000000000000000e+01,1.748800000000000000e+04
6.750000000000000000e+01,6.812500000000000000e+01,1.571500000000000000e+04
6.812500000000000000e+01,6.875000000000000000e+01,1.359900000000000000e+04
6.875000000000000000e+01,6.937500000000000000e+01,1.242400000000000000e+04
6.937500000000000000e+01,7.000000000000000000e+01,1.042800000000000000e+04
7.000000000000000000e+01,7.062500000000000000e+01,9.323000000000000000e+03
7.062500000000000000e+01,7.125000000000000000e+01,8.364000000000000000e+03
7.125000000000000000e+01,7.187500000000000000e+01,7.719000000000000000e+03
7.187500000000000000e+01,7.250000000000000000e+01,6.802000000000000000e+03
7.250000000000000000e+01,7.312500000000000000e+01,6.486000000000000000e+03
7.312500000000000000e+01,7.375000000000000000e+01,6.138000000000000000e+03
7.375000000000000000e+01,7.437500000000000000e+01,5.960000000000000000e+03
7.437500000000000000e+01,7.500000000000000000e+01,5.552000000000000000e+03
7.500000000000000000e+01,7.562500000000000000e+01,5.368000000000000000e+03
7.562500000000000000e+01,7.625000000000000000e+01,5.508000000000000000e+03
7.625000000000000000e+01,7.687500000000000000e+01,5.089000000000000000e+03
7.687500000000000000e+01,7.750000000000000000e+01,5.018000000000000000e+03
7.750000000000000000e+01,7.812500000000000000e+01,4.847000000000000000e+03
7.812500000000000000e+01,7.875000000000000000e+01,5.341000000000000000e+03
7.875000000000000000e+01,7.937500000000000000e+01,5.072000000000000000e+03
7.937500000000000000e+01,8.000000000000000000e+01,5.020000000000000000e+03
8.000000000000000000e+01,8.062500000000000000e+01,4.956000000000000000e+03
8.062500000000000000e+01,8.125000000000000000e+01,4.954000000000000000e+03
8.125000000000000000e+01,8.187500000000000000e+01,5.271000000000000000e+03
8.187500000000000000e+01,8.250000000000000000e+01,5.715000000000000000e+03
8.250000000000000000e+01,8.312500000000000000e+01,6.533000000000000000e+03
8.312500000000000000e+01,8.375000000000000000e+01,7.162000000000000000e+03
8.375000000000000000e+01,8.437500000000000000e+01,7.059000000000000000e+03
8.437500000000000000e+01,8.500000000000000000e+01,7.691000000000000000e+03
8.500000000000000000e+01,8.562500000000000000e+01,9.310000000000000000e+03
8.562500000000000000e+01,8.625000000000000000e+01,1.113100000000000000e+04
8.625000000000000000e+01,8.687500000000000000e+01,8.514000000000000000e+03
8.687500000000000000e+01,8.750000000000000000e+01,8.536000000000000000e+03
8.750000000000000000e+01,8.812500000000000000e+01,7.518000000000000000e+03
8.812500000000000000e+01,8.875000000000000000e+01,7.172000000000000000e+03
8.875000000000000000e+01,8.937500000000000000e+01,7.439000000000000000e+03
8.937500000000000000e+01,9.000000000000000000e+01,6.397000000000000000e+03
9.000000000000000000e+01,9.062500000000000000e+01,6.184000000000000000e+03
9.062500000000000000e+01,9.125000000000000000e+01,5.989000000000000000e+03
9.125000000000000000e+01,9.187500000000000000e+01,5.721000000000000000e+03
9.187500000000000000e+01,9.250000000000000000e+01,5.377000000000000000e+03
9.250000000000000000e+01,9.312500000000000000e+01,5.087000000000000000e+03
9.312500000000000000e+01,9.375000000000000000e+01,4.927000000000000000e+03
9.375000000000000000e+01,9.437500000000000000e+01,4.943000000000000000e+03
9.437500000000000000e+01,9.500000000000000000e+01,5.044000000000000000e+03
9.500000000000000000e+01,9.562500000000000000e+01,5.083000000000000000e+03
9.562500000000000000e+01,9.625000000000000000e+01,5.839000000000000000e+03
9.625000000000000000e+01,9.687500000000000000e+01,6.124000000000000000e+03
9.687500000000000000e+01,9.750000000000000000e+01,6.607000000000000000e+03
9.750000000000000000e+01,9.812500000000000000e+01,6.136000000000000000e+03
9.812500000000000000e+01,9.875000000000000000e+01,5.904000000000000000e+03
9.875000000000000000e+01,9.937500000000000000e+01,5.989000000000000000e+03
9.937500000000000000e+01,1.000000000000000000e+02,7.134000000000000000e+03
1.000000000000000000e+02,1.006250000000000000e+02,7.085000000000000000e+03
1.006250000000000000e+02,1.012500000000000000e+02,8.662000000000000000e+03
1.012500000000000000e+02,1.018750000000000000e+02,1.109300000000000000e+04
1.018750000000000000e+02,1.025000000000000000e+02,1.257200000000000000e+04
1.025000000000000000e+02,1.031250000000000000e+02,1.454900000000000000e+04
1.031250000000000000e+02,1.037500000000000000e+02,1.482100000000000000e+04
1.037500000000000000e+02,1.043750000000000000e+02,1.873400000000000000e+04
1.043750000000000000e+02,1.050000000000000000e+02,1.601900000000000000e+04
1.050000000000000000e+02,1.056250000000000000e+02,1.731300000000000000e+04
1.056250000000000000e+02,1.062500000000000000e+02,1.605900000000000000e+04
1.062500000000000000e+02,1.068750000000000000e+02,1.496400000000000000e+04
1.068750000000000000e+02,1.075000000000000000e+02,1.726100000000000000e+04
1.075000000000000000e+02,1.081250000000000000e+02,1.825500000000000000e+04
1.081250000000000000e+02,1.087500000000000000e+02,1.102900000000000000e+04
1.087500000000000000e+02,1.093750000000000000e+02,9.894000000000000000e+03
1.093750000000000000e+02,1.100000000000000000e+02,6.726000000000000000e+03
1.100000000000000000e+02,1.106250000000000000e+02,6.614000000000000000e+03
1.106250000000000000e+02,1.112500000000000000e+02,6.976000000000000000e+03
1.112500000000000000e+02,1.118750000000000000e+02,6.655000000000000000e+03
1.118750000000000000e+02,1.125000000000000000e+02,6.496000000000000000e+03
1.125000000000000000e+02,1.131250000000000000e+02,5.822000000000000000e+03
1.131250000000000000e+02,1.137500000000000000e+02,6.027000000000000000e+03
1.137500000000000000e+02,1.143750000000000000e+02,6.370000000000000000e+03
1.143750000000000000e+02,1.150000000000000000e+02,6.459000000000000000e+03
1.150000000000000000e+02,1.156250000000000000e+02,7.365000000000000000e+03
1.156250000000000000e+02,1.162500000000000000e+02,7.133000000000000000e+03
1.162500000000000000e+02,1.168750000000000000e+02,6.362000000000000000e+03
1.168750000000000000e+02,1.175000000000000000e+02,6.209000000000000000e+03
1.175000000000000000e+02,1.181250000000000000e+02,5.837000000000000000e+03
1.181250000000000000e+02,1.187500000000000000e+02,5.078000000000000000e+03
1.187500000000000000e+02,1.193750000000000000e+02,4.944000000000000000e+03
1.193750000000000000e+02,1.200000000000000000e+02,4.931000000000000000e+03
1.200000000000000000e+02,1.206250000000000000e+02,5.603000000000000000e+03
1.206250000000000000e+02,1.212500000000000000e+02,5.058000000000000000e+03
1.212500000000000000e+02,1.218750000000000000e+02,4.659000000000000000e+03
1.218750000000000000e+02,1.225000000000000000e+02,4.421000000000000000e+03
1.225000000000000000e+02,1.231250000000000000e+02,4.177000000000000000e+03
1.231250000000000000e+02,1.237500000000000000e+02,4.093000000000000000e+03
1.237500000000000000e+02,1.243750000000000000e+02,4.009000000000000000e+03
1.243750000000000000e+02,1.250000000000000000e+02,3.930000000000000000e+03
1.250000000000000000e+02,1.256250000000000000e+02,3.918000000000000000e+03
1.256250000000000000e+02,1.262500000000000000e+02,4.357000000000000000e+03
1.262500000000000000e+02,1.268750000000000000e+02,4.024000000000000000e+03
1.268750000000000000e+02,1.275000000000000000e+02,3.473000000000000000e+03
1.275000000000000000e+02,1.281250000000000000e+02,3.491000000000000000e+03
1.281250000000000000e+02,1.287500000000000000e+02,3.526000000000000000e+03
1.287500000000000000e+02,1.293750000000000000e+02,3.322000000000000000e+03
1.293750000000000000e+02,1.300000000000000000e+02,3.413000000000000000e+03
1.300000000000000000e+02,1.306250000000000000e+02,3.347000000000000000e+03
1.306250000000000000e+02,1.312500000000000000e+02,3.413000000000000000e+03
1.312500000000000000e+02,1.318750000000000000e+02,3.529000000000000000e+03
1.318750000000000000e+02,1.325000000000000000e+02,3.485000000000000000e+03
1.325000000000000000e+02,1.331250000000000000e+02,3.516000000000000000e+03
1.331250000000000000e+02,1.337500000000000000e+02,3.484000000000000000e+03
1.337500000000000000e+02,1.343750000000000000e+02,3.415000000000000000e+03
1.343750000000000000e+02,1.350000000000000000e+02,3.399000000000000000e+03
1.350000000000000000e+02,1.356250000000000000e+02,3.114000000000000000e+03
1.356250000000000000e+02,1.362500000000000000e+02,3.037000000000000000e+03
1.362500000000000000e+02,1.368750000000000000e+02,3.330000000000000000e+03
1.368750000000000000e+02,1.375000000000000000e+02,3.653000000000000000e+03
1.375000000000000000e+02,1.381250000000000000e+02,4.327000000000000000e+03
1.381250000000000000e+02,1.387500000000000000e+02,4.546000000000000000e+03
1.387500000000000000e+02,1.393750000000000000e+02,4.731000000000000000e+03
1.393750000000000000e+02,1.400000000000000000e+02,4.321000000000000000e+03
1.400000000000000000e+02,1.406250000000000000e+02,4.774000000000000000e+03
1.406250000000000000e+02,1.412500000000000000e+02,4.920000000000000000e+03
1.412500000000000000e+02,1.418750000000000000e+02,4.734000000000000000e+03
1.418750000000000000e+02,1.425000000000000000e+02,4.656000000000000000e+03
1.425000000000000000e+02,1.431250000000000000e+02,4.644000000000000000e+03
1.431250000000000000e+02,1.437500000000000000e+02,4.951000000000000000e+03
1.437500000000000000e+02,1.443750000000000000e+02,5.690000000000000000e+03
1.443750000000000000e+02,1.450000000000000000e+02,5.605000000000000000e+03
1.450000000000000000e+02,1.456250000000000000e+02,6.181000000000000000e+03
1.456250000000000000e+02,1.462500000000000000e+02,5.838000000000000000e+03
1.462500000000000000e+02,1.468750000000000000e+02,7.671000000000000000e+03
1.468750000000000000e+02,1.475000000000000000e+02,5.298000000000000000e+03
1.475000000000000000e+02,1.481250000000000000e+02,5.081000000000000000e+03
1.481250000000000000e+02,1.487500000000000000e+02,2.833000000000000000e+03
1.487500000000000000e+02,1.493750000000000000e+02,2.367000000000000000e+03
1.493750000000000000e+02,1.500000000000000000e+02,1.248000000000000000e+03
